IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo152: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532483.1880975
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo153: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532485.2368104
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo154: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532487.4811497
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo155: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532487.665304
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo156: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532487.886533
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo157: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532490.0427527
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo158: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532495.174234
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo160: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532499.9397638
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo159: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532497.0538397
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo161: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532499.963109
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo162: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532501.9275682
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo163: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532502.19616
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo164: [False, False, True, True, True] | Valor do passo: 7 | timestamp: 1745532502.3126912
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo165: [False, False, False, True, True] | Valor do passo: 3 | timestamp: 1745532504.8511674
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo166: [False, False, False, False, True] | Valor do passo: 1 | timestamp: 1745532504.937693
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo167: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532505.044766
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo168: [True, False, True, False, True] | Valor do passo: 21 | timestamp: 1745532508.3419902
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo169: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532509.3327055
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo170: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532509.3377004
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo171: [False, True, True, True, True] | Valor do passo: 15 | timestamp: 1745532514.390929
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo172: [False, True, True, True, False] | Valor do passo: 14 | timestamp: 1745532517.4650173
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo173: [False, True, True, False, False] | Valor do passo: 12 | timestamp: 1745532519.4640698
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo174: [False, True, True, False, True] | Valor do passo: 13 | timestamp: 1745532521.6327345
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo175: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532521.8449612
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo176: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532522.1639795
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo177: [False, False, True, False, False] | Valor do passo: 4 | timestamp: 1745532524.2038424
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo178: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532529.4332542
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
Passo179: [False, False, True, False, True] | Valor do passo: 5 | timestamp: 1745532531.274896
IOs: ['in1', 'in2', 'in3', 'in4', 'in5']
